Results of Pass 1 for NCAA D1
Number of rows for which scraping succeeded: 221/309

Failed URLs:
School: University of North Carolina at Chapel Hill, URL: https://goheels.com/sports/softball/roster, Reason: Scraping failed
School: University of Notre Dame, URL: https://fightingirish.com/sports/softball/roster/, Reason: Scraping failed
School: University of South Carolina, URL: https://gamecocksonline.com/sports/softball/roster/, Reason: Scraping failed
School: University of Northern Iowa, URL: https://unipanthers.com/sports/softball/roster, Reason: Scraping failed
School: University of Oregon, URL: https://goducks.com/sports/softball/roster, Reason: Scraping failed
School: University of Oklahoma, URL: https://soonersports.com/sports/softball/roster, Reason: Scraping failed
School: University of Southern Mississippi, URL: https://southernmiss.com/sports/softball/roster, Reason: Scraping failed
School: University of Tennessee, URL: https://utsports.com/sports/softball/roster, Reason: Scraping failed
School: University of Texas at San Antonio, URL: https://goutsa.com/sports/softball/roster, Reason: Scraping failed
School: University of Virginia, URL: https://virginiasports.com/sports/softball/roster/, Reason: Scraping failed
School: University of Tulsa, URL: https://tulsahurricane.com/sports/softball/roster, Reason: Scraping failed
School: Utah State University, URL: https://utahstateaggies.com/sports/softball/roster, Reason: Scraping failed
School: Virginia Tech, URL: https://hokiesports.com/sports/softball/roster, Reason: Scraping failed
School: Valparaiso University, URL: https://www.valpoathletics.com/softball/roster/, Reason: Scraping failed
School: Weber State University, URL: https://weberstatesports.com/sports/softball/roster, Reason: Scraping failed
School: Western Kentucky University, URL: https://wkusports.com/sports/softball/roster, Reason: Scraping failed
